epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.148,4.78589,19.6932,2.41118,0.39198,0.02448,0.00693,0.00163,3.71195,7.17682,1.37297,0.0700428,0.00332858,0.00332858
2,192.496,3.56527,2.67445,1.2328,0.43192,0.03621,0.02117,0.0056,3.3811,2.60298,1.18545,0.0400421,0.00666125,0.00666125
3,284.128,3.22562,2.40598,1.13578,0.32242,0.05107,0.03656,0.0109,2.92415,3.1027,1.11768,0.0100408,0.00999327,0.00999327
4,373.504,3.07922,2.21227,1.0935,0.17105,0.09278,0.07418,0.02537,2.81165,2.26105,1.08441,0.00999703,0.00999703,0.00999703
5,462.874,2.9133,2.05916,1.07098,0.34785,0.07402,0.06612,0.02453,2.71269,2.24684,1.05414,0.00999604,0.00999604,0.00999604
6,552.121,2.83302,1.96384,1.05118,0.32277,0.12587,0.11151,0.04005,2.65973,1.91247,1.0489,0.00999505,0.00999505,0.00999505
7,641.526,2.77585,1.88744,1.03759,0.28974,0.12597,0.10595,0.03767,2.53323,1.91361,1.03437,0.00999406,0.00999406,0.00999406
8,729.949,2.7145,1.83512,1.03451,0.31601,0.1433,0.12323,0.04398,2.57555,1.86509,1.03197,0.00999307,0.00999307,0.00999307
9,819.392,2.68566,1.79095,1.0256,0.38634,0.14513,0.1422,0.05347,2.47908,1.9934,1.02318,0.00999208,0.00999208,0.00999208
10,909.276,2.66577,1.76053,1.01968,0.21159,0.16103,0.15038,0.05572,2.50497,1.80264,1.01797,0.00999109,0.00999109,0.00999109
11,998.516,2.64211,1.74209,1.01945,0.37231,0.16047,0.15516,0.05967,2.46471,1.71438,1.02111,0.0099901,0.0099901,0.0099901
12,1087.78,2.6094,1.70385,1.01173,0.37869,0.15501,0.16097,0.06288,2.39954,1.66831,1.00764,0.00998911,0.00998911,0.00998911
13,1177.14,2.57972,1.67947,1.01001,0.2468,0.17752,0.1729,0.06829,2.36396,1.60072,1.00017,0.00998812,0.00998812,0.00998812
14,1266.28,2.57679,1.6518,1.00844,0.35921,0.17091,0.16296,0.06382,2.40899,1.64214,0.99867,0.00998713,0.00998713,0.00998713
15,1355.12,2.55792,1.63214,1.00499,0.35846,0.17389,0.16665,0.06431,2.33452,1.59687,0.99731,0.00998614,0.00998614,0.00998614
16,1444.34,2.53468,1.60851,1.00026,0.3682,0.17235,0.17451,0.07022,2.38988,1.67301,1.00072,0.00998515,0.00998515,0.00998515
17,1533.95,2.53336,1.60393,1.00014,0.38357,0.18742,0.18586,0.0738,2.31888,1.5771,0.99175,0.00998416,0.00998416,0.00998416
18,1623.39,2.51567,1.5899,0.99496,0.37066,0.18599,0.18267,0.07392,2.32244,1.55336,0.99268,0.00998317,0.00998317,0.00998317
19,1712.64,2.49664,1.56026,0.99323,0.38452,0.1886,0.18813,0.07271,2.28618,1.49635,0.98789,0.00998218,0.00998218,0.00998218
20,1801.76,2.4796,1.55782,0.99553,0.38516,0.19729,0.19519,0.07458,2.29372,1.52417,0.98747,0.00998119,0.00998119,0.00998119
21,1891.23,2.48406,1.54692,0.99146,0.27024,0.19307,0.19819,0.0811,2.26649,1.48879,0.98112,0.0099802,0.0099802,0.0099802
22,1980.18,2.46318,1.53117,0.98554,0.39513,0.20027,0.20047,0.08242,2.25158,1.46803,0.98192,0.00997921,0.00997921,0.00997921
23,2070.02,2.472,1.52944,0.98544,0.28684,0.20035,0.20471,0.08233,2.26146,1.47944,0.98104,0.00997822,0.00997822,0.00997822
24,2158.98,2.45226,1.52158,0.98832,0.40867,0.20235,0.20895,0.08438,2.24453,1.44993,0.9771,0.00997723,0.00997723,0.00997723
