epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.7265,4.77059,11.3278,2.24398,0.02951,0.02302,0.00965,0.00221,3.81054,3.11377,1.41731,0.0700428,0.00332858,0.00332858
2,145.915,3.48424,2.56536,1.20608,0.31934,0.04979,0.03277,0.00876,3.08298,2.45948,1.13345,0.0400421,0.00666125,0.00666125
3,213.889,3.17579,2.34834,1.12279,0.09524,0.07085,0.0402,0.01226,3.15235,2.41317,1.12255,0.0100408,0.00999327,0.00999327
4,281.86,3.01448,2.15768,1.08337,0.28085,0.09797,0.07465,0.02547,2.71294,2.12545,1.07931,0.00999703,0.00999703,0.00999703
5,350.571,2.84859,2.00852,1.06068,0.36602,0.0813,0.08903,0.03259,2.61615,2.04419,1.04576,0.00999604,0.00999604,0.00999604
6,418.999,2.77508,1.90975,1.04255,0.33553,0.1404,0.12826,0.04594,2.5604,1.86718,1.03458,0.00999505,0.00999505,0.00999505
7,487.87,2.71291,1.83776,1.02846,0.32129,0.14068,0.12941,0.04828,2.46176,1.78111,1.02582,0.00999406,0.00999406,0.00999406
8,555.924,2.65612,1.79053,1.02546,0.33473,0.13882,0.12938,0.04862,2.46341,1.77174,1.02066,0.00999307,0.00999307,0.00999307
9,624.429,2.62648,1.74421,1.0167,0.35533,0.15284,0.14907,0.05628,2.42692,1.78859,1.01609,0.00999208,0.00999208,0.00999208
10,693.131,2.60322,1.71126,1.01118,0.36292,0.15437,0.15534,0.06178,2.40933,1.68757,1.00715,0.00999109,0.00999109,0.00999109
11,760.775,2.58124,1.69695,1.0093,0.41849,0.16255,0.16936,0.06632,2.3447,1.58918,0.99659,0.0099901,0.0099901,0.0099901
12,829.039,2.54917,1.6574,1.00386,0.36826,0.18351,0.17741,0.06788,2.36462,1.61349,1.00227,0.00998911,0.00998911,0.00998911
13,897.571,2.53109,1.63881,1.00365,0.37797,0.17804,0.17537,0.06967,2.31272,1.61335,0.99604,0.00998812,0.00998812,0.00998812
14,966.403,2.5186,1.60658,1.00078,0.37041,0.1799,0.17399,0.06709,2.32177,1.57201,0.99263,0.00998713,0.00998713,0.00998713
15,1034.66,2.49507,1.58656,0.99571,0.38396,0.17906,0.18115,0.07417,2.29605,1.55073,0.9893,0.00998614,0.00998614,0.00998614
16,1103.46,2.47979,1.57273,0.99277,0.38804,0.19573,0.19632,0.07818,2.28031,1.51809,0.98775,0.00998515,0.00998515,0.00998515
17,1171.26,2.47153,1.55994,0.99161,0.39973,0.19422,0.19493,0.07967,2.25048,1.53061,0.98352,0.00998416,0.00998416,0.00998416
18,1237.43,2.46329,1.54758,0.98873,0.38436,0.19661,0.19507,0.0776,2.26851,1.52252,0.98362,0.00998317,0.00998317,0.00998317
19,1304.75,2.44006,1.52066,0.98593,0.39617,0.19492,0.19704,0.08179,2.22459,1.47792,0.97746,0.00998218,0.00998218,0.00998218
20,1371.67,2.42137,1.51511,0.98837,0.40465,0.20414,0.20794,0.08333,2.22559,1.5026,0.97817,0.00998119,0.00998119,0.00998119
21,1438.3,2.42037,1.50464,0.98389,0.4017,0.19911,0.20605,0.08499,2.19785,1.44748,0.97668,0.0099802,0.0099802,0.0099802
22,1504.94,2.40558,1.49136,0.97724,0.40311,0.20378,0.20885,0.08761,2.21458,1.45086,0.97451,0.00997921,0.00997921,0.00997921
23,1571.63,2.41081,1.48687,0.97675,0.40974,0.20915,0.21331,0.08536,2.19971,1.4474,0.97325,0.00997822,0.00997822,0.00997822
24,1637.47,2.38361,1.47455,0.97948,0.41064,0.20968,0.21366,0.08766,2.19088,1.39855,0.97157,0.00997723,0.00997723,0.00997723
25,1703.14,2.39409,1.47957,0.98044,0.41246,0.20951,0.21717,0.09009,2.16845,1.40242,0.96961,0.00997624,0.00997624,0.00997624
26,1769.77,2.39872,1.46936,0.97434,0.3168,0.22053,0.21645,0.0864,2.18941,1.41689,0.97048,0.00997525,0.00997525,0.00997525
27,1836.05,2.38015,1.46909,0.97711,0.41264,0.21786,0.22467,0.09337,2.15236,1.41163,0.96575,0.00997426,0.00997426,0.00997426
28,1902.59,2.37979,1.45396,0.97637,0.35145,0.22289,0.22765,0.09322,2.15989,1.40301,0.96662,0.00997327,0.00997327,0.00997327
29,1969.21,2.35445,1.44441,0.97684,0.35315,0.21608,0.22725,0.09826,2.14276,1.38023,0.96419,0.00997228,0.00997228,0.00997228
30,2035.14,2.35096,1.44546,0.97616,0.54798,0.22047,0.23199,0.09935,2.13576,1.37893,0.96362,0.00997129,0.00997129,0.00997129
31,2101.16,2.35726,1.42931,0.9752,0.42934,0.22863,0.22974,0.0961,2.16238,1.38576,0.96487,0.0099703,0.0099703,0.0099703
32,2167.3,2.36017,1.45246,0.97352,0.65601,0.23036,0.23406,0.09963,2.13123,1.36427,0.96349,0.00996931,0.00996931,0.00996931
33,2233.41,2.34167,1.42109,0.97191,0.43436,0.23469,0.23636,0.10101,2.12167,1.34374,0.9615,0.00996832,0.00996832,0.00996832
34,2299.31,2.33638,1.40395,0.97034,0.4739,0.23234,0.2355,0.10074,2.11177,1.35071,0.96153,0.00996733,0.00996733,0.00996733
35,2365.25,2.32289,1.40206,0.97119,0.63653,0.23413,0.24578,0.10404,2.11041,1.33549,0.95923,0.00996634,0.00996634,0.00996634
36,2432.75,2.34149,1.38981,0.97072,0.57057,0.236,0.24093,0.10358,2.11218,1.34274,0.95888,0.00996535,0.00996535,0.00996535
37,2498.67,2.32964,1.40395,0.96875,0.60983,0.24665,0.24812,0.10527,2.09926,1.32353,0.9579,0.00996436,0.00996436,0.00996436
38,2565.08,2.32767,1.40103,0.96852,0.63379,0.23897,0.24388,0.10482,2.10352,1.33887,0.95706,0.00996337,0.00996337,0.00996337
39,2631.47,2.3393,1.39318,0.96446,0.74776,0.24046,0.24749,0.10751,2.10168,1.33275,0.95809,0.00996238,0.00996238,0.00996238
40,2697.41,2.32672,1.38808,0.97046,0.63964,0.24411,0.25222,0.10976,2.08973,1.3074,0.95653,0.00996139,0.00996139,0.00996139
41,2763.62,2.31092,1.37683,0.96546,0.58138,0.24257,0.25164,0.10732,2.09358,1.30232,0.95728,0.0099604,0.0099604,0.0099604
