epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,108.658,4.20107,6.69318,1.60119,0.29918,0.02942,0.01466,0.00364,3.49323,3.13644,1.22534,0.0700214,0.00333096,0.00333096
2,213.95,3.45716,2.68986,1.1844,0.45728,0.04298,0.03337,0.00945,3.12804,2.45854,1.14472,0.0400207,0.00666363,0.00666363
3,319.026,3.21123,2.46927,1.1263,0.14668,0.05741,0.04489,0.01375,2.96482,2.98251,1.10693,0.0100194,0.00999564,0.00999564
4,424.208,3.10401,2.33652,1.09783,0.28327,0.09009,0.06304,0.02174,2.87471,2.37428,1.09576,0.00999703,0.00999703,0.00999703
5,528.738,2.98492,2.20542,1.08097,0.1612,0.09981,0.07527,0.02714,2.82179,2.26269,1.07004,0.00999604,0.00999604,0.00999604
6,632.779,2.89966,2.12432,1.06409,0.33049,0.11656,0.09537,0.03369,2.8002,2.05673,1.06584,0.00999505,0.00999505,0.00999505
7,737.229,2.87448,2.07391,1.05546,0.18482,0.11538,0.09825,0.03516,2.67461,1.96867,1.05717,0.00999406,0.00999406,0.00999406
8,841.985,2.81324,2.00826,1.04708,0.3531,0.08249,0.07754,0.02644,2.6194,2.06263,1.05296,0.00999307,0.00999307,0.00999307
9,946.314,2.78873,1.96641,1.03943,0.32875,0.11382,0.10757,0.0398,2.57074,2.03764,1.04114,0.00999208,0.00999208,0.00999208
10,1050.6,2.76416,1.92737,1.03871,0.32194,0.12735,0.11431,0.04399,2.58627,1.92528,1.0387,0.00999109,0.00999109,0.00999109
11,1154.8,2.73373,1.89477,1.03306,0.32198,0.13922,0.12349,0.04631,2.51577,1.88104,1.02929,0.0099901,0.0099901,0.0099901
12,1260,2.70997,1.8765,1.03194,0.33644,0.1509,0.14263,0.05413,2.50626,1.80862,1.02503,0.00998911,0.00998911,0.00998911
13,1364.35,2.68802,1.84573,1.02845,0.44626,0.14148,0.12862,0.04763,2.47469,1.86134,1.02026,0.00998812,0.00998812,0.00998812
14,1469.52,2.67608,1.83364,1.02798,0.34111,0.14483,0.13716,0.05173,2.44685,1.79673,1.01648,0.00998713,0.00998713,0.00998713
15,1573.57,2.66964,1.82651,1.02256,0.4702,0.1587,0.148,0.05547,2.45308,1.74751,1.01571,0.00998614,0.00998614,0.00998614
16,1678.16,2.6459,1.79568,1.02174,0.36787,0.16874,0.16176,0.06115,2.43566,1.74118,1.01269,0.00998515,0.00998515,0.00998515
17,1783.3,2.63111,1.76458,1.01642,0.36374,0.16963,0.16198,0.06142,2.42835,1.71907,1.00938,0.00998416,0.00998416,0.00998416
18,1887.41,2.62703,1.76212,1.01005,0.49675,0.16851,0.16082,0.0596,2.39353,1.67867,1.00945,0.00998317,0.00998317,0.00998317
19,1991.5,2.59565,1.72504,1.00824,0.36114,0.17173,0.16446,0.06195,2.40525,1.71626,1.0053,0.00998218,0.00998218,0.00998218
20,2096.06,2.60292,1.73079,1.01087,0.49919,0.18333,0.17521,0.06665,2.39354,1.65425,1.00021,0.00998119,0.00998119,0.00998119
21,2200.84,2.59085,1.72791,1.01176,0.49311,0.16453,0.15647,0.05522,2.41204,1.68497,1.0016,0.0099802,0.0099802,0.0099802
22,2304.35,2.58687,1.72046,1.01036,0.48993,0.17806,0.1669,0.06164,2.37182,1.65542,0.99919,0.00997921,0.00997921,0.00997921
23,2408.92,2.5799,1.69337,1.00334,0.47722,0.17301,0.18238,0.07006,2.33759,1.63882,0.99541,0.00997822,0.00997822,0.00997822
24,2512.87,2.54955,1.67974,1.00544,0.50068,0.18622,0.18155,0.07101,2.31867,1.61079,0.99326,0.00997723,0.00997723,0.00997723
25,2617.22,2.54662,1.67863,1.00455,0.37597,0.19153,0.18476,0.06999,2.32779,1.58956,0.99254,0.00997624,0.00997624,0.00997624
26,2721.6,2.54725,1.67617,1.00628,0.50187,0.18639,0.18221,0.07,2.32765,1.58164,0.9901,0.00997525,0.00997525,0.00997525
27,2825.69,2.55,1.67645,1.00108,0.51711,0.19032,0.19117,0.07559,2.3276,1.55674,0.99184,0.00997426,0.00997426,0.00997426
28,2929.8,2.53409,1.66073,0.99796,0.38857,0.19385,0.18979,0.073,2.3109,1.56323,0.98938,0.00997327,0.00997327,0.00997327
29,3034.23,2.53847,1.66141,1.00134,0.51538,0.19354,0.19295,0.07461,2.30012,1.5432,0.98665,0.00997228,0.00997228,0.00997228
30,3137.38,2.51559,1.64396,0.9975,0.40067,0.20194,0.20319,0.08052,2.29037,1.53761,0.98376,0.00997129,0.00997129,0.00997129
31,3241.01,2.51003,1.63767,0.99122,0.43207,0.20733,0.20007,0.07892,2.28506,1.52936,0.98412,0.0099703,0.0099703,0.0099703
32,3345.06,2.50734,1.62423,0.99592,0.40117,0.20504,0.20709,0.08471,2.27381,1.52098,0.98233,0.00996931,0.00996931,0.00996931
33,3448.57,2.49865,1.58981,0.99365,0.39539,0.20509,0.20367,0.08099,2.27157,1.53484,0.98137,0.00996832,0.00996832,0.00996832
34,3553.34,2.50383,1.59818,0.99308,0.40526,0.21084,0.21212,0.0861,2.25211,1.4925,0.97982,0.00996733,0.00996733,0.00996733
35,3658.73,2.50073,1.59339,0.99308,0.52533,0.20784,0.2102,0.08221,2.25988,1.48181,0.98083,0.00996634,0.00996634,0.00996634
36,3763.6,2.48862,1.60155,0.99563,0.31607,0.20944,0.20901,0.08211,2.25299,1.49851,0.97835,0.00996535,0.00996535,0.00996535
