epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,107.039,4.82333,24.1159,2.42574,0.66742,0.024,0.01357,0.00352,3.59057,4.82182,1.29018,0.0700428,0.00332858,0.00332858
2,199.118,3.48174,2.60056,1.21078,0.69401,0.04474,0.03542,0.01006,3.08977,2.37023,1.15652,0.0400421,0.00666125,0.00666125
3,289.628,3.19829,2.36856,1.12893,0.13089,0.06743,0.04646,0.01481,2.95834,2.26698,1.10953,0.0100408,0.00999327,0.00999327
4,378.623,3.03741,2.1757,1.08778,0.29442,0.08947,0.0706,0.02433,2.83481,2.28211,1.11412,0.00999703,0.00999703,0.00999703
5,467.917,2.88101,2.02063,1.06597,0.32908,0.09132,0.10134,0.03926,2.69401,2.00062,1.05117,0.00999604,0.00999604,0.00999604
6,556.716,2.80673,1.9265,1.04758,0.30881,0.12494,0.11301,0.04128,2.6298,1.91373,1.04495,0.00999505,0.00999505,0.00999505
7,647.225,2.74873,1.85922,1.03331,0.32788,0.12874,0.11757,0.04138,2.50965,1.84146,1.02903,0.00999406,0.00999406,0.00999406
8,736.709,2.6931,1.81349,1.03129,0.32378,0.13693,0.12251,0.04502,2.56727,1.84606,1.02709,0.00999307,0.00999307,0.00999307
9,825.928,2.65714,1.75493,1.02021,0.36798,0.16089,0.15487,0.05795,2.42603,1.75654,1.01502,0.00999208,0.00999208,0.00999208
10,916.616,2.63885,1.72939,1.01602,0.34533,0.15443,0.15227,0.05655,2.4411,1.74337,1.01778,0.00999109,0.00999109,0.00999109
11,1006.02,2.61495,1.71313,1.01575,0.38837,0.16118,0.16163,0.06114,2.41019,1.62492,1.01188,0.0099901,0.0099901,0.0099901
12,1102.08,2.58846,1.67542,1.00981,0.35108,0.16732,0.16545,0.06275,2.38156,1.65748,1.0082,0.00998911,0.00998911,0.00998911
13,1190.08,2.56454,1.65592,1.00874,0.39338,0.18631,0.18238,0.07027,2.35032,1.56463,0.99779,0.00998812,0.00998812,0.00998812
14,1287.38,2.55335,1.62354,1.00494,0.36619,0.17925,0.16993,0.06208,2.34823,1.6007,0.99564,0.00998713,0.00998713,0.00998713
15,1376.71,2.53367,1.6082,1.00241,0.23634,0.17479,0.16848,0.06621,2.32156,1.58237,0.99462,0.00998614,0.00998614,0.00998614
16,1463.96,2.51731,1.59114,0.998,0.37172,0.18444,0.18491,0.07283,2.34493,1.57209,0.99829,0.00998515,0.00998515,0.00998515
17,1552.17,2.50926,1.57685,0.99704,0.38725,0.18492,0.18211,0.07141,2.28436,1.55159,0.99269,0.00998416,0.00998416,0.00998416
18,1638.55,2.50308,1.57146,0.99324,0.38084,0.19186,0.18606,0.07242,2.27842,1.51872,0.98898,0.00998317,0.00998317,0.00998317
