epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,77.3644,4.77822,15.914,2.32909,0.14387,0.01816,0.00724,0.00178,3.70432,4.6128,1.36621,0.0700428,0.00332858,0.00332858
2,144.832,3.55091,2.65683,1.23005,0.56151,0.04059,0.02574,0.00693,3.34342,2.74175,1.16451,0.0400421,0.00666125,0.00666125
3,210.786,3.22778,2.404,1.1348,0.14608,0.06803,0.04499,0.01527,3.05637,2.82096,1.12318,0.0100408,0.00999327,0.00999327
4,276.286,3.06281,2.20099,1.09325,0.28964,0.09299,0.07688,0.0269,2.78699,2.13323,1.08197,0.00999703,0.00999703,0.00999703
5,341.046,2.90242,2.04655,1.07022,0.2963,0.11368,0.09556,0.03449,2.69493,2.25016,1.05477,0.00999604,0.00999604,0.00999604
6,405.28,2.82325,1.94586,1.05071,0.32445,0.11915,0.10666,0.04001,2.6816,1.95289,1.05242,0.00999505,0.00999505,0.00999505
7,468.986,2.77356,1.88579,1.03685,0.2994,0.14031,0.12024,0.04411,2.53503,1.83745,1.03208,0.00999406,0.00999406,0.00999406
8,532.355,2.71646,1.83765,1.03464,0.31828,0.14189,0.12192,0.04497,2.56785,1.85874,1.03281,0.00999307,0.00999307,0.00999307
9,596.669,2.68158,1.78744,1.02376,0.39063,0.14339,0.14786,0.05654,2.45774,1.93378,1.01836,0.00999208,0.00999208,0.00999208
10,660.752,2.65761,1.75398,1.0189,0.33754,0.15486,0.14794,0.05539,2.47899,1.78604,1.01549,0.00999109,0.00999109,0.00999109
11,724.617,2.63958,1.74223,1.01825,0.36176,0.16065,0.14985,0.05759,2.41903,1.68811,1.01195,0.0099901,0.0099901,0.0099901
12,788.776,2.61233,1.70747,1.01227,0.36639,0.17369,0.1661,0.06475,2.39409,1.65372,1.00621,0.00998911,0.00998911,0.00998911
13,852.56,2.58932,1.68565,1.01182,0.36737,0.17255,0.16804,0.06652,2.36902,1.65992,1.00313,0.00998812,0.00998812,0.00998812
14,916.486,2.57835,1.65451,1.0092,0.36174,0.1664,0.16238,0.06286,2.36237,1.62142,1.00404,0.00998713,0.00998713,0.00998713
15,980.468,2.55997,1.6365,1.00569,0.38293,0.18178,0.18119,0.07213,2.31753,1.61054,0.99824,0.00998614,0.00998614,0.00998614
16,1044.14,2.54237,1.61757,1.0014,0.36407,0.18311,0.17716,0.06867,2.35408,1.63418,0.99697,0.00998515,0.00998515,0.00998515
17,1107.57,2.5338,1.6073,0.99945,0.37845,0.18844,0.18257,0.07246,2.30804,1.61681,0.99351,0.00998416,0.00998416,0.00998416
18,1171.1,2.52668,1.60067,0.99648,0.37849,0.19239,0.18864,0.07555,2.31684,1.52807,0.99346,0.00998317,0.00998317,0.00998317
19,1234.51,2.50534,1.56606,0.99475,0.39575,0.19621,0.19694,0.07815,2.29004,1.49752,0.98756,0.00998218,0.00998218,0.00998218
