epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,54.4731,4.79101,15.006,2.31972,0.53296,0.02851,0.01102,0.00258,3.65428,3.31794,1.2989,0.0700428,0.00332858,0.00332858
2,105.27,3.53342,2.63252,1.21547,0.69512,0.05015,0.03189,0.00869,3.08103,3.02625,1.13987,0.0400421,0.00666125,0.00666125
3,155.252,3.22826,2.3845,1.12971,0.27094,0.0859,0.057,0.01848,2.91919,2.66402,1.08778,0.0100408,0.00999327,0.00999327
4,204.623,3.04923,2.21003,1.09263,0.27739,0.09212,0.07459,0.02318,2.82109,2.16993,1.08136,0.00999703,0.00999703,0.00999703
5,254.201,2.881,2.05531,1.065,0.29446,0.11867,0.09857,0.03575,2.66008,2.0692,1.04923,0.00999604,0.00999604,0.00999604
6,303.839,2.81163,1.97584,1.0517,0.32391,0.13479,0.1201,0.04485,2.62349,1.92195,1.04385,0.00999505,0.00999505,0.00999505
7,353.688,2.73972,1.87469,1.03773,0.35585,0.13532,0.12806,0.04871,2.58977,1.79145,1.03359,0.00999406,0.00999406,0.00999406
8,403.546,2.71354,1.8577,1.03168,0.18721,0.12987,0.12309,0.04777,2.48936,2.15951,1.0215,0.00999307,0.00999307,0.00999307
9,452.875,2.65533,1.79021,1.02328,0.35933,0.1447,0.13621,0.04978,2.46042,1.74469,1.02373,0.00999208,0.00999208,0.00999208
10,502.642,2.64319,1.75403,1.02133,0.33907,0.14608,0.1373,0.05312,2.43028,1.71505,1.01275,0.00999109,0.00999109,0.00999109
11,552.287,2.61917,1.7336,1.0144,0.36266,0.16279,0.15584,0.05848,2.40219,1.65795,1.00712,0.0099901,0.0099901,0.0099901
12,601.934,2.60512,1.71893,1.00928,0.38501,0.17013,0.16494,0.06308,2.36702,1.67812,1.00053,0.00998911,0.00998911,0.00998911
13,651.032,2.57124,1.67032,1.00554,0.35557,0.16328,0.16326,0.06669,2.39309,1.61435,1.00345,0.00998812,0.00998812,0.00998812
14,700.574,2.56802,1.66502,1.00967,0.36053,0.17207,0.1699,0.06561,2.33389,1.70673,0.99639,0.00998713,0.00998713,0.00998713
15,749.487,2.54768,1.64498,0.99923,0.36564,0.18689,0.18325,0.07293,2.32216,1.57754,0.99794,0.00998614,0.00998614,0.00998614
16,799.541,2.54869,1.62964,1.00267,0.38786,0.18454,0.18409,0.07333,2.32639,1.57322,0.99164,0.00998515,0.00998515,0.00998515
17,849.929,2.54692,1.61948,1.0001,0.3776,0.18459,0.18271,0.07333,2.30939,1.54326,0.99213,0.00998416,0.00998416,0.00998416
18,899.095,2.52375,1.60846,0.9984,0.3853,0.18621,0.18611,0.07279,2.29318,1.52821,0.99152,0.00998317,0.00998317,0.00998317
19,948.135,2.50186,1.60325,0.99766,0.38126,0.19776,0.19586,0.07752,2.26838,1.4938,0.98581,0.00998218,0.00998218,0.00998218
20,997.495,2.49606,1.59472,0.99679,0.38408,0.19936,0.19759,0.07896,2.27599,1.49575,0.98375,0.00998119,0.00998119,0.00998119
21,1047.03,2.49956,1.58326,0.99376,0.40343,0.19936,0.20248,0.08237,2.27145,1.47221,0.98991,0.0099802,0.0099802,0.0099802
22,1096.42,2.48422,1.56648,0.99072,0.40419,0.19955,0.20113,0.08113,2.2411,1.45404,0.98206,0.00997921,0.00997921,0.00997921
23,1145.76,2.48108,1.55156,0.98988,0.40552,0.20395,0.20572,0.08452,2.24916,1.46384,0.97934,0.00997822,0.00997822,0.00997822
24,1194.94,2.46475,1.54389,0.98866,0.40091,0.20073,0.20277,0.08304,2.2458,1.44807,0.97781,0.00997723,0.00997723,0.00997723
25,1244.5,2.45636,1.52332,0.99038,0.40587,0.20288,0.20711,0.08442,2.22402,1.42744,0.97751,0.00997624,0.00997624,0.00997624
26,1294.04,2.45458,1.53328,0.98763,0.39216,0.2032,0.2054,0.08333,2.24031,1.46129,0.97836,0.00997525,0.00997525,0.00997525
27,1343.23,2.46075,1.53826,0.9879,0.65226,0.20275,0.20667,0.08013,2.24866,1.4479,0.97945,0.00997426,0.00997426,0.00997426
28,1392.16,2.43759,1.51447,0.9857,0.52666,0.20796,0.21173,0.08519,2.21692,1.40666,0.9767,0.00997327,0.00997327,0.00997327
29,1441.74,2.44265,1.51457,0.98653,0.52786,0.21388,0.21791,0.08994,2.21703,1.42128,0.97273,0.00997228,0.00997228,0.00997228
30,1490.65,2.43026,1.50394,0.98572,0.41352,0.21075,0.21762,0.08815,2.20227,1.4107,0.97283,0.00997129,0.00997129,0.00997129
31,1539.64,2.4358,1.50668,0.98511,0.4582,0.21595,0.21951,0.08943,2.19481,1.39886,0.9696,0.0099703,0.0099703,0.0099703
32,1588.9,2.43108,1.49751,0.98329,0.53776,0.2134,0.2211,0.09281,2.18878,1.38419,0.97031,0.00996931,0.00996931,0.00996931
33,1638.46,2.42089,1.48011,0.98413,0.53237,0.21565,0.21968,0.09226,2.18512,1.39721,0.96777,0.00996832,0.00996832,0.00996832
34,1687.29,2.40454,1.48427,0.97894,0.54037,0.21479,0.22093,0.09155,2.1776,1.38309,0.96767,0.00996733,0.00996733,0.00996733
