epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.046,4.30034,6.68632,1.70194,0.66196,0.02897,0.0119,0.0031,3.59356,4.0749,1.28854,0.0700214,0.00333096,0.00333096
2,191.187,3.47616,2.69246,1.18841,0.36007,0.05065,0.03563,0.01009,3.08074,2.38665,1.13124,0.0400207,0.00666363,0.00666363
3,284.669,3.19086,2.44163,1.12227,0.21001,0.06092,0.04754,0.01582,3.05505,2.66354,1.10891,0.0100194,0.00999564,0.00999564
4,377.018,3.05153,2.28829,1.09144,0.29187,0.09921,0.07337,0.02683,2.76785,2.237,1.08081,0.00999703,0.00999703,0.00999703
5,468.823,2.90939,2.14541,1.0703,0.31783,0.10321,0.0978,0.03711,2.69211,2.08435,1.06303,0.00999604,0.00999604,0.00999604
6,560.925,2.81641,2.05482,1.05206,0.32701,0.11903,0.11099,0.04005,2.59073,1.9192,1.03945,0.00999505,0.00999505,0.00999505
7,654.12,2.79116,2.00027,1.04281,0.19204,0.12991,0.12037,0.04537,2.60187,2.01498,1.0421,0.00999406,0.00999406,0.00999406
8,746.092,2.72395,1.92702,1.03296,0.31935,0.1166,0.11336,0.03999,2.49202,1.89004,1.02604,0.00999307,0.00999307,0.00999307
9,837.937,2.70458,1.88143,1.02711,0.31752,0.14455,0.14267,0.05443,2.50736,2.0162,1.02072,0.00999208,0.00999208,0.00999208
10,930.199,2.67825,1.83994,1.02563,0.32835,0.13946,0.12798,0.04931,2.4629,1.86746,1.01572,0.00999109,0.00999109,0.00999109
11,1022.13,2.6467,1.80621,1.0186,0.35369,0.16371,0.15681,0.06116,2.40602,1.69725,1.00571,0.0099901,0.0099901,0.0099901
12,1114.03,2.62375,1.79246,1.01943,0.33656,0.15571,0.15038,0.05492,2.44648,1.80677,1.01228,0.00998911,0.00998911,0.00998911
13,1206.34,2.6069,1.75573,1.01518,0.34974,0.15227,0.14158,0.05443,2.40929,1.76838,1.00591,0.00998812,0.00998812,0.00998812
