epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.2756,4.61389,9.42504,1.93379,0.5402,0.04164,0.01438,0.00353,3.59966,5.61121,1.22185,0.0700428,0.00332858,0.00332858
2,102.944,3.51578,2.55954,1.19715,0.43728,0.04849,0.03225,0.00905,3.08624,2.34239,1.14783,0.0400421,0.00666125,0.00666125
3,153.335,3.1965,2.34217,1.1191,0.27531,0.08878,0.0606,0.02131,2.98177,2.88563,1.10261,0.0100408,0.00999327,0.00999327
4,203.345,3.03414,2.17028,1.08967,0.28283,0.09611,0.07729,0.02766,2.72647,2.00389,1.07204,0.00999703,0.00999703,0.00999703
5,253.409,2.87663,2.03118,1.06387,0.31823,0.10015,0.08685,0.0324,2.64785,2.03266,1.05303,0.00999604,0.00999604,0.00999604
6,303.562,2.81404,1.96608,1.0524,0.45384,0.12806,0.11364,0.04266,2.64291,1.9184,1.0456,0.00999505,0.00999505,0.00999505
7,352.636,2.74322,1.87454,1.03997,0.46514,0.14033,0.13118,0.04985,2.55222,1.81262,1.03323,0.00999406,0.00999406,0.00999406
8,402.316,2.7119,1.862,1.03217,0.38003,0.08672,0.10729,0.03892,2.51871,1.97623,1.02792,0.00999307,0.00999307,0.00999307
9,451.444,2.65366,1.78396,1.02464,0.35073,0.14354,0.13688,0.05221,2.49153,1.75635,1.02112,0.00999208,0.00999208,0.00999208
10,500.595,2.638,1.75136,1.02101,0.34167,0.15812,0.14854,0.0576,2.4442,1.71283,1.0163,0.00999109,0.00999109,0.00999109
11,549.067,2.61327,1.72821,1.01438,0.35606,0.16402,0.1628,0.06526,2.38194,1.64832,1.00516,0.0099901,0.0099901,0.0099901
12,598.126,2.60571,1.70435,1.01195,0.40187,0.15933,0.16344,0.0605,2.36401,1.75391,1.00116,0.00998911,0.00998911,0.00998911
13,646.612,2.56208,1.65808,1.00628,0.36112,0.16424,0.16598,0.06559,2.39733,1.65027,1.00508,0.00998812,0.00998812,0.00998812
14,695.49,2.56125,1.65146,1.01008,0.37127,0.16986,0.17572,0.07007,2.347,1.57786,1.00089,0.00998713,0.00998713,0.00998713
15,743.941,2.53695,1.6294,0.99899,0.37291,0.18375,0.18051,0.07185,2.32651,1.59215,0.99449,0.00998614,0.00998614,0.00998614
16,793.333,2.54315,1.6225,1.00348,0.38299,0.18572,0.18716,0.07337,2.32091,1.55488,0.98961,0.00998515,0.00998515,0.00998515
17,842.622,2.5309,1.59946,0.99971,0.48792,0.17759,0.17442,0.06925,2.33794,1.57209,0.99192,0.00998416,0.00998416,0.00998416
18,891.253,2.51321,1.59736,0.99902,0.37739,0.18725,0.18883,0.07436,2.33206,1.54786,0.99666,0.00998317,0.00998317,0.00998317
19,939.951,2.49383,1.58763,0.99731,0.25893,0.19783,0.19385,0.07565,2.28389,1.51967,0.98672,0.00998218,0.00998218,0.00998218
20,988.642,2.48817,1.5754,0.99707,0.38539,0.20318,0.19984,0.07976,2.27569,1.49882,0.98401,0.00998119,0.00998119,0.00998119
21,1037.28,2.48702,1.56433,0.99349,0.41673,0.19533,0.20249,0.0829,2.26522,1.48781,0.98755,0.0099802,0.0099802,0.0099802
22,1086.1,2.4717,1.54658,0.98987,0.52363,0.19141,0.1938,0.07593,2.266,1.46151,0.98222,0.00997921,0.00997921,0.00997921
23,1135.02,2.47121,1.53433,0.99006,0.43164,0.20422,0.20464,0.08278,2.25683,1.46399,0.98108,0.00997822,0.00997822,0.00997822
24,1183.76,2.45372,1.52639,0.98743,0.40335,0.20272,0.20887,0.08555,2.25237,1.44504,0.97953,0.00997723,0.00997723,0.00997723
25,1232.78,2.44988,1.50158,0.98938,0.52792,0.20466,0.2105,0.08659,2.24132,1.42998,0.9795,0.00997624,0.00997624,0.00997624
26,1281.68,2.44134,1.51313,0.98675,0.42368,0.20833,0.20797,0.08349,2.25668,1.46035,0.97903,0.00997525,0.00997525,0.00997525
27,1330.19,2.44953,1.51597,0.98792,0.41441,0.21017,0.20916,0.08052,2.24007,1.43375,0.9796,0.00997426,0.00997426,0.00997426
28,1378.7,2.42552,1.49686,0.98571,0.46803,0.21216,0.21291,0.08556,2.21321,1.41469,0.97849,0.00997327,0.00997327,0.00997327
29,1427.72,2.42929,1.4921,0.9873,0.47373,0.2149,0.21714,0.08983,2.22903,1.42273,0.97715,0.00997228,0.00997228,0.00997228
30,1476.17,2.41912,1.48118,0.9865,0.41291,0.22139,0.21827,0.08982,2.20077,1.40374,0.97173,0.00997129,0.00997129,0.00997129
31,1524.74,2.42772,1.48963,0.98626,0.44156,0.21895,0.21844,0.08831,2.20048,1.40263,0.97183,0.0099703,0.0099703,0.0099703
32,1573.56,2.42012,1.47131,0.98402,0.41763,0.2146,0.22124,0.09039,2.20241,1.38357,0.97211,0.00996931,0.00996931,0.00996931
33,1622.49,2.40871,1.46388,0.98427,0.41226,0.22769,0.22394,0.09425,2.19148,1.37714,0.97201,0.00996832,0.00996832,0.00996832
34,1671.07,2.39348,1.46482,0.97837,0.43055,0.21988,0.22462,0.09104,2.18719,1.37484,0.96909,0.00996733,0.00996733,0.00996733
35,1719.67,2.40403,1.45487,0.98202,0.4506,0.22317,0.22358,0.09143,2.17736,1.37001,0.97001,0.00996634,0.00996634,0.00996634
36,1768.56,2.38994,1.44083,0.98159,0.44847,0.23102,0.22825,0.09439,2.16651,1.35003,0.96727,0.00996535,0.00996535,0.00996535
37,1816.97,2.39972,1.45688,0.98239,0.43027,0.23161,0.22711,0.09375,2.18119,1.36508,0.96939,0.00996436,0.00996436,0.00996436
38,1865.15,2.38592,1.4532,0.98087,0.44194,0.23099,0.22908,0.09504,2.16809,1.34427,0.96694,0.00996337,0.00996337,0.00996337
39,1913.87,2.38684,1.43857,0.97931,0.44044,0.22997,0.23181,0.09662,2.16962,1.35138,0.96714,0.00996238,0.00996238,0.00996238
40,1962.68,2.38937,1.43675,0.97775,0.46526,0.2315,0.23143,0.09509,2.16285,1.33798,0.9673,0.00996139,0.00996139,0.00996139
41,2011.35,2.37123,1.42349,0.97455,0.43982,0.22897,0.23306,0.0949,2.16367,1.34225,0.96479,0.0099604,0.0099604,0.0099604
42,2060.02,2.375,1.42227,0.97185,0.56777,0.23145,0.23514,0.09863,2.1454,1.33041,0.96311,0.00995941,0.00995941,0.00995941
43,2108.27,2.36597,1.42662,0.98074,0.42967,0.23865,0.23561,0.09621,2.14733,1.32012,0.96394,0.00995842,0.00995842,0.00995842
44,2157.46,2.37667,1.41834,0.97379,0.64606,0.23662,0.23799,0.09733,2.15144,1.3265,0.96493,0.00995743,0.00995743,0.00995743
45,2206.52,2.36278,1.40034,0.97428,0.70966,0.24131,0.2404,0.09988,2.14002,1.31478,0.96206,0.00995644,0.00995644,0.00995644
46,2255.24,2.36245,1.40979,0.97436,0.48721,0.24075,0.23826,0.0988,2.14189,1.31571,0.96311,0.00995545,0.00995545,0.00995545
47,2304.24,2.35871,1.40055,0.97328,0.58195,0.24506,0.24334,0.10228,2.13887,1.31068,0.96287,0.00995446,0.00995446,0.00995446
48,2353.09,2.35645,1.39626,0.9732,0.52061,0.23983,0.24477,0.10333,2.13343,1.30806,0.96212,0.00995347,0.00995347,0.00995347
49,2401.31,2.34944,1.4105,0.97584,0.51646,0.24856,0.24608,0.10365,2.12339,1.30371,0.96086,0.00995248,0.00995248,0.00995248
50,2449.93,2.35154,1.40369,0.97298,0.55291,0.24341,0.2475,0.10403,2.12614,1.29344,0.96085,0.00995149,0.00995149,0.00995149
51,2498.55,2.35793,1.41036,0.97701,0.6422,0.24544,0.24715,0.10438,2.12474,1.29647,0.96023,0.0099505,0.0099505,0.0099505
52,2547.47,2.35313,1.39863,0.96954,0.62365,0.24745,0.24663,0.10393,2.12306,1.2971,0.9593,0.00994951,0.00994951,0.00994951
53,2596.43,2.35201,1.38141,0.96965,0.65033,0.24689,0.24936,0.10494,2.11314,1.28945,0.95847,0.00994852,0.00994852,0.00994852
54,2645.33,2.35317,1.38887,0.96809,0.53355,0.25568,0.25183,0.10592,2.11544,1.28269,0.95807,0.00994753,0.00994753,0.00994753
55,2694.34,2.35264,1.38813,0.97147,0.51855,0.25038,0.25138,0.10599,2.11595,1.28687,0.95808,0.00994654,0.00994654,0.00994654
56,2742.81,2.33436,1.38303,0.96976,0.61483,0.24934,0.25193,0.106,2.11349,1.28029,0.95796,0.00994555,0.00994555,0.00994555
57,2791.36,2.32808,1.37084,0.9718,0.63153,0.25631,0.25343,0.10769,2.10519,1.27637,0.95735,0.00994456,0.00994456,0.00994456
58,2839.56,2.32565,1.37276,0.96924,0.63206,0.25694,0.25504,0.10735,2.10637,1.27412,0.95675,0.00994357,0.00994357,0.00994357
59,2888.23,2.35353,1.39349,0.97049,0.64161,0.25905,0.25665,0.10689,2.10357,1.27515,0.95574,0.00994258,0.00994258,0.00994258
60,2937.07,2.33897,1.38231,0.96743,0.63359,0.25801,0.25915,0.10841,2.10296,1.27422,0.95617,0.00994159,0.00994159,0.00994159
61,2985.98,2.32037,1.35839,0.96683,0.60156,0.26526,0.26158,0.10978,2.10688,1.2734,0.95686,0.0099406,0.0099406,0.0099406
62,3034.51,2.32099,1.36534,0.96669,0.62618,0.25856,0.26065,0.10922,2.10534,1.27113,0.9562,0.00993961,0.00993961,0.00993961
63,3083.15,2.33237,1.36632,0.96904,0.60483,0.26341,0.25958,0.109,2.10293,1.26673,0.95601,0.00993862,0.00993862,0.00993862
64,3132.32,2.32896,1.36393,0.96714,0.60474,0.26595,0.26134,0.10946,2.10174,1.26532,0.95631,0.00993763,0.00993763,0.00993763
65,3180.77,2.32645,1.37358,0.96607,0.62114,0.26271,0.2602,0.10943,2.10062,1.26183,0.95542,0.00993664,0.00993664,0.00993664
66,3229.23,2.30862,1.35234,0.96727,0.63153,0.26296,0.25968,0.10886,2.09732,1.26092,0.95545,0.00993565,0.00993565,0.00993565
67,3277.64,2.31843,1.35791,0.96923,0.63212,0.26703,0.2624,0.1101,2.09601,1.26068,0.95555,0.00993466,0.00993466,0.00993466
68,3326.34,2.31485,1.35266,0.9676,0.61773,0.2645,0.26213,0.11055,2.09259,1.2569,0.95487,0.00993367,0.00993367,0.00993367
69,3374.9,2.30618,1.3429,0.96414,0.62295,0.26572,0.26225,0.11104,2.09117,1.25658,0.95467,0.00993268,0.00993268,0.00993268
70,3423.77,2.30283,1.34397,0.96556,0.626,0.26589,0.26401,0.11126,2.08698,1.25603,0.95421,0.00993169,0.00993169,0.00993169
71,3472.57,2.30918,1.34016,0.96611,0.6169,0.26681,0.26449,0.11165,2.08742,1.25462,0.95405,0.0099307,0.0099307,0.0099307
72,3521.58,2.31427,1.35339,0.96624,0.6332,0.26896,0.26742,0.11206,2.08571,1.25235,0.9536,0.00992971,0.00992971,0.00992971
73,3569.64,2.30302,1.36025,0.9679,0.62471,0.27098,0.26774,0.11233,2.08545,1.25206,0.95369,0.00992872,0.00992872,0.00992872
74,3618.15,2.30784,1.3414,0.96585,0.63397,0.26723,0.26843,0.11232,2.08219,1.24995,0.95309,0.00992773,0.00992773,0.00992773
75,3667.03,2.30141,1.34162,0.96048,0.64773,0.2645,0.26824,0.11217,2.08012,1.2484,0.95274,0.00992674,0.00992674,0.00992674
76,3715.44,2.30416,1.34697,0.96861,0.62663,0.26788,0.26789,0.11295,2.07869,1.24782,0.95248,0.00992575,0.00992575,0.00992575
77,3764.61,2.30869,1.34205,0.96323,0.62009,0.27058,0.26858,0.11325,2.079,1.24784,0.95251,0.00992476,0.00992476,0.00992476
78,3813.11,2.30656,1.33839,0.96028,0.62069,0.27282,0.26884,0.11308,2.07631,1.24778,0.95213,0.00992377,0.00992377,0.00992377
79,3861.96,2.29868,1.34027,0.96658,0.62126,0.27141,0.269,0.11338,2.07468,1.24591,0.95171,0.00992278,0.00992278,0.00992278
80,3910.1,2.30731,1.34768,0.96362,0.61694,0.26917,0.2697,0.11397,2.07198,1.24228,0.9513,0.00992179,0.00992179,0.00992179
81,3958.92,2.30405,1.34108,0.96516,0.6217,0.26799,0.27007,0.11442,2.07035,1.24088,0.9513,0.0099208,0.0099208,0.0099208
82,4007.56,2.2865,1.32812,0.96368,0.61509,0.27279,0.27061,0.11426,2.06887,1.23969,0.95109,0.00991981,0.00991981,0.00991981
83,4056.1,2.28089,1.31883,0.96358,0.61073,0.2746,0.27178,0.11469,2.06644,1.23797,0.95102,0.00991882,0.00991882,0.00991882
84,4105.01,2.30054,1.33511,0.96487,0.60564,0.2758,0.27097,0.11421,2.06453,1.23754,0.95062,0.00991783,0.00991783,0.00991783
85,4153.72,2.30385,1.33101,0.96188,0.615,0.2788,0.27236,0.11498,2.06344,1.23629,0.95058,0.00991684,0.00991684,0.00991684
86,4202.51,2.30417,1.32642,0.96379,0.62081,0.27883,0.27306,0.11511,2.0637,1.2354,0.95028,0.00991585,0.00991585,0.00991585
87,4251.42,2.28505,1.30775,0.96094,0.62611,0.27768,0.27442,0.11546,2.06175,1.23332,0.95022,0.00991486,0.00991486,0.00991486
88,4300.28,2.29327,1.32664,0.96387,0.63275,0.27836,0.27624,0.11591,2.06194,1.23281,0.95022,0.00991387,0.00991387,0.00991387
89,4349.08,2.28154,1.3184,0.96248,0.62813,0.27583,0.27671,0.11585,2.06168,1.23179,0.95003,0.00991288,0.00991288,0.00991288
90,4397.66,2.29641,1.32729,0.96111,0.62902,0.27825,0.27779,0.11646,2.05992,1.23002,0.94974,0.00991189,0.00991189,0.00991189
91,4446.02,2.28,1.31826,0.96285,0.62528,0.2796,0.27834,0.11676,2.05863,1.22896,0.94953,0.0099109,0.0099109,0.0099109
92,4494.48,2.29475,1.32783,0.96031,0.61989,0.27957,0.27771,0.1172,2.05763,1.2283,0.94944,0.00990991,0.00990991,0.00990991
93,4543.51,2.30123,1.32948,0.95865,0.62214,0.28011,0.27762,0.11723,2.05758,1.22803,0.94937,0.00990892,0.00990892,0.00990892
94,4592.4,2.27464,1.29901,0.95648,0.623,0.28236,0.27824,0.11771,2.05656,1.22669,0.94923,0.00990793,0.00990793,0.00990793
95,4641.15,2.27938,1.31173,0.95822,0.62275,0.28245,0.27816,0.11836,2.05607,1.2267,0.94907,0.00990694,0.00990694,0.00990694
96,4690.06,2.27304,1.30761,0.95939,0.62167,0.28231,0.27876,0.11838,2.05441,1.22564,0.9487,0.00990595,0.00990595,0.00990595
97,4738.79,2.28015,1.31014,0.96222,0.6232,0.28024,0.27883,0.11862,2.05378,1.22531,0.94865,0.00990496,0.00990496,0.00990496
98,4787.27,2.27745,1.31517,0.96148,0.62074,0.28187,0.27915,0.11849,2.05294,1.22485,0.94836,0.00990397,0.00990397,0.00990397
99,4836.07,2.28725,1.30969,0.95918,0.625,0.28271,0.28008,0.11876,2.05228,1.22379,0.94824,0.00990298,0.00990298,0.00990298
100,4884.89,2.27975,1.31397,0.9613,0.62914,0.27908,0.27994,0.11893,2.05232,1.22335,0.94818,0.00990199,0.00990199,0.00990199
